video_id,title,channel,topic
F6Jdqsa0bnE,"한국에서 소주와 치킨을 처음 먹어본 미국인 반응?! ""맛있는데 취한다.."" American's 1st Time Eating Korean Chicken & Soju! 🇰🇷🇺🇸",KOMERICAN,기타
4ZWuslXMhqY,"(EN) 떠나기 직전, 갑작스런 아이의 충격적인 고백 Just Before Leaving, the Child’s Shocking Confession",엔조이커플enjoycouple,교육
AsgG87h8Aus,미스터리 소련 택시기사와 극한 로드트립 - 타지키스탄(2),곽튜브,자동차/교통
cHYRigMqY9U,"사장님 놀라서 전화옴ㅋㅋㅋ(엽떡 할인, 꿀조합 공개)",떡볶퀸 Tteokbokqueen,기타
RyRK_WVKucw,"sub) 강의 노트 만들고 실험 준비 📝 스페인에서 아기천사 죽일뻔함 🇪🇸 FC바르셀로나 vs 레알마드리드 직관ㅣ바르셀로나, 마드리드 브이로그",deemd 딤디,자동차/교통
nC_E8OW1kWQ,[ENG SUB] 세호 결혼하더니 변했어! | #놀면뭐하니? #유재석 #조세호 #MBC241109방송,놀면 뭐하니?,기타
Y2aOCvT8n_E,(ENG) 일론 머스크는 나 모델로 안 쓰겠지? 내돈내산 테슬라 리뷰 해드립니다 (※광고 아님※)ㅣ할명수 ep.208,할명수,자동차/교통
QivS9MEqdLE,한 아이를 키우려면 온 회사가 필요하다 | ☎소통의 신,채널십오야,기타
ymsc-Y19MTk,[MV] JEONG DONG WON(정동원) _ Loop of Love(고리),1theK (원더케이),음악
JlvpkmZXCxo,"[SUB]""나야, 에스파” 프리티 핫 걸즈 젤닝이가 놀러왔어요 근데 이제 우정을 곁들인...♥EP.1(EN/TH)",띠집,기타
4oAG8DUmiFE,저 사람은 왜 저럴까?,[하말넘많] heavytalker,기타
3Vf6jzXcxMw,동치미 힘들게 담그지마세요✔️ 이 방법은 국물까지 싹싹 긁어 먹습니다,엄마의손맛,기타
AjeNSEueiX4,(결말포함) 2024 4/4분기 유병재 친구 순위표,유병재,기타
dh4-gOWune0,‘내 집에서는 한국말 하세요!’ 맹랑한 체리에게 충격받은 미국 할아버지 ㅋㅋ,올리버쌤,교육
